campaign_type,platform,region,device,age_group,season,campaign_date,budget,impressions,clicks,likes,shares,comments,leads,conversions,customer_rating,revenue,spend,profit,roi,bounce_rate,session_duration_sec
search,facebook,north,desktop,55+,summer,2023-07-22,38768.0,362738,12261,7150,1623,614,2841,678,5.0,3378062.56,36266.59,3341795.97,9214.53,22.25,292.0
affiliate,facebook,east,mobile,35-44,festive,2025-10-22,20507.0,200613,8900,10193,2179,437,2428,822,3.5,9658482.84,18291.93,9640190.91,52701.88,56.03,149.0
search,google ads,west,mobile,55+,summer,2023-01-11,30433.0,309070,6272,9662,1616,835,1890,355,3.9,1422968.99,31975.61,1390993.38,4350.17,45.96,120.0
email,youtube,west,desktop,55+,festive,2024-06-15,46373.0,1188007,38502,63627,6842,8222,3499,1199,3.3,11784873.84,38944.35,11745929.49,30160.81,61.83,173.0
influencer,x,west,desktop,55+,winter,2025-10-06,65564.0,335654,9754,9838,2221,1460,2303,96,5.0,575532.22,64355.34,511176.88,794.3,44.34,57.0
search,linkedin,west,desktop,55+,monsoon,2024-12-19,154330.0,1263248,20527,27694,3167,1160,1604,380,3.7,2093724.2,134544.76,1959179.44,1456.15,67.93,88.0
influencer,google ads,south,tablet,55+,winter,2023-08-31,174454.0,3226541,33616,22296,1947,3034,9860,1457,3.4,1576737.94,163681.43,1413056.51,863.3,79.69,208.0
email,linkedin,west,tablet,45-54,summer,2025-02-18,144407.0,957979,11579,10226,2039,734,1401,339,4.0,520889.25,150530.3,370358.95,246.04,23.66,239.0
email,linkedin,south,mobile,55+,winter,2023-11-18,31786.0,629973,19089,31619,5940,3730,2422,670,4.7,2323648.38,34015.54,2289632.84,6731.14,20.37,130.0
social media,instagram,central,tablet,45-54,summer,2025-02-13,71340.0,336416,3361,5271,544,285,821,49,4.7,47459.74,70966.71,-23506.97000000001,-33.12,61.62,69.0
email,youtube,central,mobile,35-44,monsoon,2023-02-25,104069.0,1388134,50663,44854,9765,4153,16234,1312,4.3,8010624.93,92787.57,7917837.359999999,8533.3,63.61,161.0
email,facebook,central,tablet,18-24,winter,2023-05-08,137636.0,1512465,40690,51228,10851,2769,5346,1276,4.9,9999827.94,126162.32,9873665.62,7826.16,73.5,122.0
social media,youtube,east,desktop,25-34,summer,2023-07-10,85800.0,1514185,48018,32140,7882,3678,1935,713,5.0,2366419.83,78364.66,2288055.17,2919.75,71.67,148.0
social media,linkedin,east,mobile,55+,summer,2023-03-08,31655.0,431752,10953,14836,3530,1067,531,150,4.0,1313995.7,25779.93,1288215.77,4996.97,71.48,98.0
email,linkedin,west,desktop,25-34,summer,2024-08-01,17237.0,276426,6431,9686,2304,548,1645,387,4.7,1451787.61,17408.13,1434379.4800000002,8239.71,31.74,177.0
influencer,x,central,tablet,55+,monsoon,2025-11-14,56739.0,777299,13295,14856,2822,2096,1289,284,3.9,2086729.2,49456.03,2037273.17,4119.36,76.29,67.0
affiliate,linkedin,east,tablet,55+,winter,2025-03-22,36249.0,675373,12389,16497,1135,1630,1962,427,3.5,1883205.33,38041.51,1845163.82,4850.4,62.99,72.0
social media,instagram,north,mobile,55+,summer,2023-07-16,27375.0,192176,6719,11825,825,1507,319,74,3.8,754727.54,21951.09,732776.4500000001,3338.22,46.06,323.0
social media,google ads,east,desktop,35-44,summer,2023-05-29,88078.0,632990,1265,2224,517,158,441,67,3.2,274577.45,88230.4,186347.05,211.21,52.76,161.0
affiliate,youtube,south,tablet,55+,festive,2023-05-11,34526.0,570290,23346,20860,1941,1870,5358,628,3.7,10132698.33,31982.48,10100715.85,31582.03,50.08,52.0
email,x,central,tablet,25-34,summer,2023-01-30,61697.0,794364,33690,29992,3751,2684,2096,409,3.4,1260413.05,55827.85,1204585.2,2157.68,40.16,411.0
influencer,youtube,east,tablet,25-34,summer,2025-05-28,26007.0,356479,8005,4120,424,353,1393,143,3.9,1126466.64,27207.55,1099259.09,4040.27,49.78,293.0
search,google ads,west,mobile,35-44,monsoon,2023-05-06,113877.0,890541,25694,11803,2127,1395,4903,414,4.3,2179742.34,102133.26,2077609.08,2034.21,72.35,188.0
affiliate,instagram,west,mobile,55+,winter,2024-08-31,52677.0,648596,22121,15266,1661,1376,895,75,4.4,589077.12,48996.19,540080.9299999999,1102.29,67.75,261.0
search,google ads,north,desktop,25-34,monsoon,2024-03-05,68013.0,482182,5059,5257,512,718,375,112,3.7,575965.94,56304.3,519661.64,922.95,50.04,224.0
affiliate,youtube,south,tablet,25-34,festive,2024-03-27,134425.0,3869758,176603,157723,33922,9557,30858,3201,4.4,29302545.63,120910.35,29181635.28,24134.94,42.0,451.0
social media,google ads,west,desktop,45-54,summer,2023-04-19,21499.0,370967,13241,19649,4846,1414,1645,214,3.8,104075.86,19819.18,84256.68,425.13,34.16,193.0
social media,google ads,north,tablet,55+,monsoon,2023-10-31,50864.0,656001,26587,35404,4212,3611,8367,757,5.0,5821049.38,41887.83,5779161.55,13796.76,29.03,328.0
email,facebook,east,desktop,18-24,winter,2023-09-26,48191.0,305428,15803,22534,3413,1951,1669,583,3.5,5486047.47,45216.5,5440830.97,12032.84,47.51,52.0
influencer,youtube,west,tablet,18-24,winter,2024-12-24,61900.0,810374,25036,10947,2143,379,1526,468,4.1,4754048.43,52261.24,4701787.19,8996.7,50.12,151.0
affiliate,youtube,south,tablet,18-24,summer,2023-08-16,65758.0,669547,19296,28909,6365,2816,4626,1199,5.0,6922993.72,54505.98,6868487.739999999,12601.35,50.04,151.0
affiliate,youtube,west,mobile,45-54,festive,2025-01-03,98920.0,804230,29244,42090,7587,6270,5028,2199,4.1,12092490.9,81266.76,12011224.14,14780.0,50.04,96.0
affiliate,google ads,east,tablet,18-24,summer,2025-12-06,44597.0,755278,29503,20497,4219,902,7366,911,4.1,8304356.98,42933.25,8261423.73,19242.48,50.04,237.0
email,google ads,north,desktop,18-24,winter,2023-09-14,25859.0,400544,12517,14428,2035,663,3430,512,3.3,5254551.33,27004.23,5227547.1,19358.25,39.74,157.0
influencer,linkedin,central,mobile,35-44,festive,2024-01-15,130544.0,1622387,43525,46112,9139,4450,9688,1461,4.9,7687528.1,122413.36,7565114.739999999,6179.97,39.75,321.0
search,linkedin,south,desktop,35-44,festive,2024-03-04,20205.0,295719,4564,3254,300,228,324,43,3.2,207572.33,21470.32,186102.01,866.79,73.59,154.0
email,x,south,mobile,45-54,monsoon,2023-11-01,160324.0,1908522,76453,60419,3170,8201,5476,1490,5.0,7491938.34,130443.53,7361494.81,5643.43,52.83,115.0
